open,high,low,close,symbol,date
150.21,150.94,147.61,148.5,AAPL,2023-03-10T00:00:00+0000
153.559,154.5312,150.225,150.59,AAPL,2023-03-09T00:00:00+0000
152.81,153.47,151.83,152.87,AAPL,2023-03-08T00:00:00+0000
153.7,154.0299,151.13,151.6,AAPL,2023-03-07T00:00:00+0000
153.785,156.295,153.46,153.83,AAPL,2023-03-06T00:00:00+0000
148.04,151.11,147.33,151.03,AAPL,2023-03-03T00:00:00+0000
144.38,146.71,143.9,145.91,AAPL,2023-03-02T00:00:00+0000
146.83,147.2285,145.01,145.31,AAPL,2023-03-01T00:00:00+0000
147.05,149.075,146.87,147.41,AAPL,2023-02-28T00:00:00+0000
147.71,149.17,147.45,147.92,AAPL,2023-02-27T00:00:00+0000
147.11,147.19,145.72,146.71,AAPL,2023-02-24T00:00:00+0000
150.09,150.34,147.24,149.4,AAPL,2023-02-23T00:00:00+0000
148.87,149.95,147.16,148.91,AAPL,2023-02-22T00:00:00+0000
150.2,151.3,148.41,148.48,AAPL,2023-02-21T00:00:00+0000
152.35,153.0,150.85,152.55,AAPL,2023-02-17T00:00:00+0000
153.51,156.33,153.35,153.71,AAPL,2023-02-16T00:00:00+0000
153.11,155.5,152.88,155.33,AAPL,2023-02-15T00:00:00+0000
152.12,153.77,150.87,153.2,AAPL,2023-02-14T00:00:00+0000
150.952,154.26,150.92,153.85,AAPL,2023-02-13T00:00:00+0000
149.46,151.34,149.22,151.01,AAPL,2023-02-10T00:00:00+0000
153.78,154.33,150.42,150.87,AAPL,2023-02-09T00:00:00+0000
153.88,154.58,151.17,151.92,AAPL,2023-02-08T00:00:00+0000
150.64,155.23,150.64,154.65,AAPL,2023-02-07T00:00:00+0000
152.57,153.1,150.78,151.73,AAPL,2023-02-06T00:00:00+0000
148.03,157.38,147.83,154.5,AAPL,2023-02-03T00:00:00+0000
148.9,151.18,148.17,150.82,AAPL,2023-02-02T00:00:00+0000
143.97,146.61,141.32,145.43,AAPL,2023-02-01T00:00:00+0000
142.7,144.34,142.28,144.29,AAPL,2023-01-31T00:00:00+0000
144.96,145.55,142.85,143.0,AAPL,2023-01-30T00:00:00+0000
143.16,147.23,143.08,145.93,AAPL,2023-01-27T00:00:00+0000
143.17,144.25,141.9,143.96,AAPL,2023-01-26T00:00:00+0000
140.89,142.43,138.81,141.86,AAPL,2023-01-25T00:00:00+0000
140.31,143.16,140.3,142.53,AAPL,2023-01-24T00:00:00+0000
138.12,143.32,137.9,141.11,AAPL,2023-01-23T00:00:00+0000
135.28,138.02,134.22,137.87,AAPL,2023-01-20T00:00:00+0000
134.08,136.25,133.77,135.27,AAPL,2023-01-19T00:00:00+0000
136.82,138.61,135.03,135.21,AAPL,2023-01-18T00:00:00+0000
134.83,137.29,134.13,135.94,AAPL,2023-01-17T00:00:00+0000
132.03,134.92,131.66,134.76,AAPL,2023-01-13T00:00:00+0000
133.88,134.26,131.44,133.41,AAPL,2023-01-12T00:00:00+0000
131.25,133.51,130.46,133.49,AAPL,2023-01-11T00:00:00+0000
130.26,131.26,128.12,130.73,AAPL,2023-01-10T00:00:00+0000
130.47,133.41,129.89,130.15,AAPL,2023-01-09T00:00:00+0000
126.01,130.29,124.89,129.62,AAPL,2023-01-06T00:00:00+0000
127.13,127.77,124.76,125.02,AAPL,2023-01-05T00:00:00+0000
126.89,128.66,125.08,126.36,AAPL,2023-01-04T00:00:00+0000
130.28,130.9,124.17,125.07,AAPL,2023-01-03T00:00:00+0000
128.41,129.95,127.43,129.93,AAPL,2022-12-30T00:00:00+0000
127.99,130.48,127.73,129.61,AAPL,2022-12-29T00:00:00+0000
129.67,131.03,125.87,126.04,AAPL,2022-12-28T00:00:00+0000
131.38,131.41,128.72,130.03,AAPL,2022-12-27T00:00:00+0000
130.92,132.415,129.64,131.86,AAPL,2022-12-23T00:00:00+0000
134.352,134.56,130.3,132.23,AAPL,2022-12-22T00:00:00+0000
132.98,136.81,132.75,135.45,AAPL,2022-12-21T00:00:00+0000
131.39,133.25,129.89,132.3,AAPL,2022-12-20T00:00:00+0000
135.11,135.2,131.32,132.37,AAPL,2022-12-19T00:00:00+0000
136.69,137.65,133.73,134.51,AAPL,2022-12-16T00:00:00+0000
141.11,141.8,136.025,136.5,AAPL,2022-12-15T00:00:00+0000
145.35,146.655,141.16,143.21,AAPL,2022-12-14T00:00:00+0000
149.5,149.9692,144.24,145.47,AAPL,2022-12-13T00:00:00+0000
142.7,144.5,141.06,144.49,AAPL,2022-12-12T00:00:00+0000
142.34,145.57,140.9,142.16,AAPL,2022-12-09T00:00:00+0000
142.36,143.52,141.1,142.65,AAPL,2022-12-08T00:00:00+0000
142.19,143.37,140.0,140.94,AAPL,2022-12-07T00:00:00+0000
147.075,147.3,141.92,142.91,AAPL,2022-12-06T00:00:00+0000
147.77,150.9199,145.77,146.63,AAPL,2022-12-05T00:00:00+0000
145.96,148.0,145.65,147.81,AAPL,2022-12-02T00:00:00+0000
148.21,149.13,146.61,148.31,AAPL,2022-12-01T00:00:00+0000
141.395,148.72,140.55,148.03,AAPL,2022-11-30T00:00:00+0000
144.29,144.81,140.355,141.17,AAPL,2022-11-29T00:00:00+0000
